OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C-AS_mean	LB+LP_mean	C_mean	LB_mean	LB-AS_mean	taxonomy
HQ631071	35.1404748914	4.3467062182e-07	0.000215161957801	0.000215161957801	3265.75	0.0	898.136363636	0.375	3993.66666667	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_sp_1_TMS_2011
HM754427	32.0291389709	1.88704304617e-06	0.000453124168247	0.000934086307856	38.9166666667	0.0	12.8181818182	0.0	54.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_sp_1_TMS_2011
New.ReferenceOTU2	31.2312677898	2.74620708028e-06	0.000453124168247	0.00135937250474	130.333333333	0.0	34.9545454545	0.0	110.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_sp_1_TMS_2011
AY251632	27.7786954729	1.38295673506e-05	0.00171140895963	0.00684563583853	5.75	0.0	1.13636363636	0.0	1.66666666667	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Wickerhamomyces; s__Wickerhamomyces_anomalus
JF300397	22.6932363387	0.000145805651634	0.0144347595117	0.0721737975586	0.916666666667	1753.71428571	1085.59090909	562.375	50.6666666667	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
EU288196	17.7822620121	0.00136105858808	0.05856736543	0.673724001102	1791.91666667	0.571428571429	284.727272727	0.375	467.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_tropicalis
DQ279837	17.1555148981	0.00180298082262	0.05856736543	0.892475507195	0.0	0.0	0.0	59.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JF715197	16.6191466637	0.00229154258418	0.05856736543	1.0	8.75	0.0	12.1818181818	0.125	1.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
FJ643575	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	6.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JN207249	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	6.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ643588	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	1.66666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ866205	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	0.333333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU721806	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	324.333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU721974	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	3.66666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU90	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	1.66666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU393	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	0.333333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU446	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	0.333333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1024	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	0.333333333333	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_sp_1_TMS_2011
New.CleanUp.ReferenceOTU1086	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	1.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_quercitrusa
New.CleanUp.ReferenceOTU1714	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	0.333333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU2019	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	4.66666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU2171	16.3333333333	0.00260299401911	0.05856736543	1.0	0.0	0.0	0.0	0.0	0.333333333333	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_quercitrusa
New.ReferenceOTU37	15.4379271872	0.00387401742257	0.0833755923554	1.0	15.5	0.0	18.7727272727	0.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
FM177662	14.6295593692	0.00553454971493	0.11415008787	1.0	3883.75	0.0	4455.81818182	1059.875	287.333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedcompost_fungus
FJ213520	14.3079938146	0.00637425101801	0.126210170157	1.0	0.0	4187.28571429	999.545454545	3698.625	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
JF497146	14.1905081733	0.00671120935894	0.127090280863	1.0	0.0	7.71428571429	1.54545454545	18.5	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JQ247368	14.11655681	0.00693219713798	0.127090280863	1.0	0.0	5.28571428571	1.04545454545	7.125	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_commune
JF933755	13.9481627622	0.00746234981048	0.128789574611	1.0	0.0	4.28571428571	5.68181818182	1.125	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
New.ReferenceOTU1	13.9228965409	0.00754524780549	0.128789574611	1.0	0.0	16.2857142857	2.86363636364	26.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1874	13.7200026857	0.00824445384789	0.13603348849	1.0	0.0	6.57142857143	0.5	1.5	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
U10409	13.3462479608	0.00970222392292	0.136495150708	1.0	335.416666667	0.0	0.0	0.0	49.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycopsidaceae; g__Saccharomycopsis; s__Saccharomycopsis_fibuligera
New.CleanUp.ReferenceOTU1962	13.2631422428	0.010059101991	0.136495150708	1.0	0.0	4.28571428571	0.909090909091	2.375	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
New.ReferenceOTU24	13.2566516669	0.0100875082132	0.136495150708	1.0	270.666666667	0.0	2.0	44.625	333.666666667	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Kodamaea; s__Kodamaea_ohmeri
FN548146	13.2204583245	0.0102473527248	0.136495150708	1.0	0.0	3.42857142857	1.59090909091	22.375	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_sp_MU_2009_1
GQ120984	13.1861664829	0.0104010812866	0.136495150708	1.0	0.0	477.285714286	129.772727273	319.375	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
New.CleanUp.ReferenceOTU1899	13.1265206624	0.0106738551315	0.136495150708	1.0	0.0	1.85714285714	0.227272727273	1.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
New.CleanUp.ReferenceOTU202	13.1142857143	0.0107306658709	0.136495150708	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
GQ458025	13.1092436975	0.0107541633891	0.136495150708	1.0	0.0	2.85714285714	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1662	13.1092436975	0.0107541633891	0.136495150708	1.0	0.0	0.428571428571	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_prolifica
New.CleanUp.ReferenceOTU2134	12.6928817886	0.0128781277431	0.151999861928	1.0	0.0	1.42857142857	0.636363636364	1.625	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
New.ReferenceOTU16	12.6844595932	0.0129250600432	0.151999861928	1.0	106.583333333	222.142857143	29.5454545455	81.25	3170.66666667	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_quercitrusa
New.ReferenceOTU34	12.6785864477	0.0129578865409	0.151999861928	1.0	1.91666666667	0.0	1.54545454545	0.125	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedcompost_fungus
New.ReferenceOTU8	12.6296510238	0.0132345779706	0.151999861928	1.0	0.0	2.28571428571	0.636363636364	8.125	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU30	12.5374711918	0.0137715110097	0.151999861928	1.0	1.16666666667	0.0	0.409090909091	0.0	1.33333333333	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_sp_1_TMS_2011
New.ReferenceOTU4	12.5296271507	0.0138181692662	0.151999861928	1.0	0.0	0.0	25.4545454545	0.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Lachancea; s__Lachancea_fermentati
AM901702	12.4674265951	0.0141936471618	0.152735985762	1.0	0.0	79.2857142857	19.2727272727	68.875	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
HM162228	12.3496727218	0.0149318851967	0.155143787505	1.0	0.0	4.14285714286	3.31818181818	1.25	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
New.ReferenceOTU36	12.329634482	0.0150611802889	0.155143787505	1.0	3.41666666667	0.0	3.18181818182	0.25	0.666666666667	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
