"Observed" "Chao1" "se.chao1" "Simpson" "InvSimpson"
"X176" 429 733.363636363636 56.6329772299466 0.459434405184328 1.84991425571765
"X155" 321 529.524590163934 44.760862613815 0.41151033931833 1.69926519837521
"X168" 539 865.4 55.2473207005282 0.469063540561763 1.88346455065086
"X177" 454 661.857142857143 39.6007671961744 0.518081700870613 2.07504052410244
"X166" 857 1297.62411347518 63.3564625714317 0.572516891498207 2.33927371657962
"X172" 536 956.51724137931 71.059678292462 0.632988360920438 2.72470922858993
"X147" 1519 1894.91390728477 45.0529839049968 0.840420145330545 6.2664551366546
"X148" 1662 1976.9 37.9887046615645 0.800637351650039 5.01598473072348
"X146" 1663 1953.01869158879 36.4943938627666 0.94939347101301 19.7602961518481
"X173" 274 414.625 33.4700120063995 0.414722272296942 1.70859055909155
"X156" 920 1163.10869565217 44.7095640351038 0.853028344491134 6.80403303982432
"X170" 481 772.211764705882 52.9637197153076 0.516637882354603 2.06884230992553
"X157" 403 795.096774193548 75.0131973277916 0.62977881040445 2.70108796606822
"X175" 447 729.361445783132 52.0364104893336 0.445735452942937 1.80419261038727
"X161" 353 603.555555555556 54.0620738925985 0.30824802327233 1.445604831851
"X167" 589 926.528301886792 55.7574028504114 0.530887025608106 2.13168267472519
"X160" 173 253.161290322581 25.454145220194 0.284225617460237 1.39708827864407
"X178" 355 600.564516129032 50.8793048163821 0.297955731418294 1.42441160016908
"X171" 418 643.040540540541 44.8684604708776 0.489944391577112 1.96057054071425
"X153" 408 662.753623188406 50.6940554994545 0.370801857097122 1.58932446206275
"X165" 719 1100.46875 58.0952571013727 0.632621743629989 2.72199016316533
"X150" 353 540.551724137931 41.721767000714 0.310675199494896 1.45069493984149
"X163" 270 389.538461538462 30.0660425055678 0.217163491043752 1.27740593158244
"X151" 344 544.754098360656 43.4048043804098 0.394264603962077 1.65088585963597
"X158" 314 563.558139534884 58.055416766968 0.729860921528304 3.70179688794924
"X152" 254 450.5 47.2551037677657 0.128318449437957 1.14720794463898
"X162" 267 362.06 25.3928254149699 0.164603216953875 1.19703597176144
