Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
168	112	20.7594531429	8.59831297307	16.4514035	6.27743610751	0.793573495896	1.0
0	140	11.0456971429	1.42725805355	18.52146925	7.04235250796	-2.56889331388	0.24
0	84	11.0456971429	1.42725805355	18.018275875	7.59650551096	-2.22663463788	0.59
84	112	18.018275875	7.59650551096	16.4514035	6.27743610751	0.325143044671	1.0
168	84	20.7594531429	8.59831297307	18.018275875	7.59650551096	0.610277942339	1.0
0	168	11.0456971429	1.42725805355	20.7594531429	8.59831297307	-2.72990366536	0.12
140	84	18.52146925	7.04235250796	18.018275875	7.59650551096	0.1285229796	1.0
140	112	18.52146925	7.04235250796	16.4514035	6.27743610751	0.454008194985	1.0
168	140	20.7594531429	8.59831297307	18.52146925	7.04235250796	0.515630570668	1.0
0	112	11.0456971429	1.42725805355	16.4514035	6.27743610751	-1.97350533594	0.92
