	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
L1S140	0.0	0.578588957919	0.656411464922	0.605075855562	0.570773766044	0.799238477118	0.797306979224	0.820348578432	0.840599080042	0.822646762657	0.864863766309	0.847006512153	0.823944773612	0.848345653107	0.839799574632	0.830051355095	0.815360734512	0.811834036662	0.796102311005	0.820930477195	0.785170911221	0.816714749509	0.619050442576	0.452051274999	0.569172915598	0.808214828669	0.771217641419	0.787977238363	0.722565563129	0.590151813331	0.548562736498	0.76631415131	0.822397028104	0.772608321853
L1S208	0.578588957919	0.0	0.663504402376	0.493193356179	0.687795635684	0.861177517197	0.875801847443	0.884426843419	0.887113434966	0.884450673422	0.901608370817	0.888870106971	0.871493685849	0.899149540546	0.893198376285	0.896984485371	0.866285576148	0.880498579815	0.851580021523	0.878101455815	0.854652093637	0.862456382373	0.447549221586	0.559256880393	0.653917044715	0.871873974497	0.844581667517	0.841595930004	0.834757549724	0.57000444925	0.560315385972	0.832320241597	0.882966306173	0.873297997324
L1S8	0.656411464922	0.663504402376	0.0	0.695533992219	0.466502836705	0.855521803387	0.838339682333	0.863791860607	0.890872089992	0.879232602805	0.887422687569	0.891879915336	0.874780376174	0.887922288175	0.872251651982	0.883199438421	0.859923313469	0.851021121867	0.828899872571	0.837977907614	0.808372570483	0.826579653799	0.691083934319	0.653113253316	0.622923640938	0.821236001659	0.795150084563	0.817091755823	0.787593967024	0.578623036384	0.625047382137	0.766313161543	0.865271879676	0.833458980533
L1S281	0.605075855562	0.493193356179	0.695533992219	0.0	0.714689768085	0.870663250924	0.866737359849	0.89374875754	0.891661994186	0.884772480556	0.90672008231	0.898967687265	0.88380903053	0.904372874837	0.899969598857	0.902651081904	0.883466240999	0.871713512619	0.855748780183	0.897911292525	0.866647714816	0.861139041795	0.48938276431	0.601963628828	0.683927745916	0.895314759114	0.858718783662	0.868045204988	0.834305199662	0.609760824314	0.602027089888	0.823589383759	0.892761551673	0.856852856282
L3S242	0.570773766044	0.687795635684	0.466502836705	0.714689768085	0.0	0.792152370832	0.757981064918	0.801759950872	0.817866733459	0.798318268631	0.836385123073	0.821062898216	0.803930402408	0.825580633094	0.805454370739	0.803385510061	0.789403099905	0.762304415014	0.707726373359	0.718300191375	0.693380555731	0.718811836317	0.706334845314	0.598514334362	0.549621820834	0.692187635918	0.688536035242	0.676608369133	0.676375460551	0.591680880961	0.55567185713	0.612957470763	0.790811042241	0.703156918441
L2S309	0.799238477118	0.861177517197	0.855521803387	0.870663250924	0.792152370832	0.0	0.488404138984	0.492494737333	0.543934126821	0.678961318331	0.500659813902	0.554453130262	0.533822446414	0.541573520969	0.522157058338	0.662813690451	0.518547907026	0.528643513739	0.708516441556	0.779322557438	0.780412711394	0.733468186989	0.862886120912	0.810322263194	0.763423419014	0.78082086178	0.759151916219	0.74164311038	0.66009974522	0.868993419258	0.84266155049	0.720077016367	0.523933347603	0.694363360237
L2S357	0.797306979224	0.875801847443	0.838339682333	0.866737359849	0.757981064918	0.488404138984	0.0	0.485016425224	0.555191831316	0.614979833597	0.515392840376	0.554402607849	0.48098740726	0.546141912812	0.510108003069	0.5932579694	0.514012544218	0.47211244201	0.665216260268	0.677545072975	0.690709635566	0.648056849379	0.872874307195	0.804821182911	0.762737148456	0.696897506854	0.727115117145	0.680445320299	0.577275369481	0.870619986077	0.840702708611	0.627410538015	0.520555933421	0.607713082175
L4S112	0.820348578432	0.884426843419	0.863791860607	0.89374875754	0.801759950872	0.492494737333	0.485016425224	0.0	0.502994906801	0.644805250268	0.498908883021	0.50574318197	0.453778545314	0.483671208497	0.473547319733	0.629337285409	0.548389365593	0.52320682447	0.696359557746	0.732034419727	0.743099620888	0.70129289884	0.884968438716	0.833928079904	0.785055525131	0.743401134766	0.780021489132	0.719809851091	0.630395157197	0.87972560657	0.859448728421	0.696067081592	0.533442471446	0.668398802332
L2S155	0.840599080042	0.887113434966	0.890872089992	0.891661994186	0.817866733459	0.543934126821	0.555191831316	0.502994906801	0.0	0.608989351673	0.523353069829	0.542720927022	0.489476637467	0.532095769542	0.498566814813	0.613194003075	0.519419508263	0.510729169132	0.727213982649	0.740318903583	0.758250361543	0.709599059497	0.894206158271	0.85712591655	0.815973733911	0.762713961457	0.775804128661	0.741723256944	0.680411512766	0.893318933517	0.869500117849	0.707588347976	0.523818545275	0.667347287172
L2S382	0.822646762657	0.884450673422	0.879232602805	0.884772480556	0.798318268631	0.678961318331	0.614979833597	0.644805250268	0.608989351673	0.0	0.680418299654	0.673509049437	0.667389166758	0.69286834404	0.670008525642	0.323473088537	0.654170962392	0.546187529354	0.589192028219	0.586642135294	0.624991664524	0.568211961962	0.897975895799	0.831259766779	0.790129217455	0.619123888674	0.689338452316	0.571229627578	0.573434081413	0.894278156303	0.874859338753	0.615581847837	0.581776556863	0.561322566567
