# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within DaysSinceExperimentStart	All between DaysSinceExperimentStart	-0.778026266748	0.436882698853	1	0.428	1.000
All within DaysSinceExperimentStart	0 vs. 0	0.13885917264	0.889788527444	1	0.886	1.000
All within DaysSinceExperimentStart	168 vs. 168	0.330274817757	0.741754196741	1	0.746	1.000
All within DaysSinceExperimentStart	140 vs. 140	0.451309132007	0.652518723307	1	0.658	1.000
All within DaysSinceExperimentStart	84 vs. 84	-0.324437300139	0.746128440107	1	0.767	1.000
All within DaysSinceExperimentStart	112 vs. 112	-1.21402912937	0.227384683963	1	0.245	1.000
All within DaysSinceExperimentStart	0 vs. 168	-1.48888169972	0.138604097685	1	0.129	1.000
All within DaysSinceExperimentStart	0 vs. 140	-0.280020701787	0.779827894033	1	0.792	1.000
All within DaysSinceExperimentStart	0 vs. 84	-0.975765292838	0.330672371306	1	0.332	1.000
All within DaysSinceExperimentStart	0 vs. 112	-1.9269413061	0.0561688469265	1	0.055	1.000
All within DaysSinceExperimentStart	168 vs. 140	0.723659132918	0.47034506618	1	0.490	1.000
All within DaysSinceExperimentStart	168 vs. 84	-0.308989063509	0.757736911008	1	0.776	1.000
All within DaysSinceExperimentStart	168 vs. 112	-1.15368206604	0.250747176464	1	0.260	1.000
All within DaysSinceExperimentStart	140 vs. 84	0.907512906536	0.365451158159	1	0.372	1.000
All within DaysSinceExperimentStart	140 vs. 112	-0.602784346635	0.547670955882	1	0.550	1.000
All within DaysSinceExperimentStart	84 vs. 112	-0.529079276439	0.597625797589	1	0.605	1.000
All between DaysSinceExperimentStart	0 vs. 0	0.537368454092	0.591264241537	1	0.590	1.000
All between DaysSinceExperimentStart	168 vs. 168	0.747604576416	0.455067866751	1	0.440	1.000
