OTU	Test-Statistic	P	FDR_P	Bonferroni_P	0_mean	168_mean	140_mean	84_mean	112_mean	taxonomy
365634	16.9216589862	0.002001878219	0.681787841876	1.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
368462	16.9216589862	0.002001878219	0.681787841876	1.0	0.857142857143	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
688133	16.888641115	0.00203165002505	0.681787841876	1.0	0.0	7.42857142857	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
1091685	15.46875	0.00382151396026	0.681787841876	1.0	0.0	0.0	0.0	0.0	0.5	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
New.CleanUp.ReferenceOTU348	15.46875	0.00382151396026	0.681787841876	1.0	0.0	0.0	0.0	0.0	0.5	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
801438	15.4545454545	0.00384562243061	0.681787841876	1.0	0.0	0.0	0.0	0.0	0.75	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
14157	15.1462281341	0.00440734402851	0.681787841876	1.0	0.0	1.0	0.0	0.125	0.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
533787	14.2371888726	0.00657528473537	0.681787841876	1.0	0.0	0.0	3.125	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
1566691	14.2302439024	0.00659533483878	0.681787841876	1.0	0.0	0.0	1.5	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
181155	14.0380244236	0.00717468110867	0.681787841876	1.0	0.0	1.28571428571	0.0	0.25	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar
562038	13.9315270936	0.0075168302042	0.681787841876	1.0	0.571428571429	0.0	0.0	0.0	0.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
557100	13.245416172	0.0101368661418	0.681787841876	1.0	0.0	1.28571428571	0.125	0.0	1.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Capnocytophaga; s__
1084182	12.9022341531	0.0117635076405	0.681787841876	1.0	0.0	0.0	0.0	2.25	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
4448731	12.3179723502	0.0151369303908	0.681787841876	1.0	0.0	0.857142857143	0.0	0.0	0.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
