OTU	Test-Statistic	P	FDR_P	Bonferroni_P	right palm_mean	left palm_mean	tongue_mean	gut_mean	taxonomy
New.CleanUp.ReferenceOTU827	26.4926554569	7.52051684155e-06	0.00551006906624	0.0168534782419	0.666666666667	0.0	0.0	3.375	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
968954	25.7097274875	1.09696800539e-05	0.00551006906624	0.0245830530008	0.888888888889	2.75	18.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
968675	25.6029598281	1.15488291751e-05	0.00551006906624	0.0258809261814	6.55555555556	25.125	154.888888889	0.125	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae
1086274	25.4589921459	1.23783247351e-05	0.00551006906624	0.0277398257315	4.88888888889	14.5	33.7777777778	0.125	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae
1066621	25.2497530864	1.36909154066e-05	0.00551006906624	0.0306813414261	0.222222222222	1.375	32.4444444444	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica
749837	25.0856343146	1.48168333892e-05	0.00551006906624	0.0332045236252	0.333333333333	0.5	5.33333333333	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Oribacterium; s__
315429	24.7744473291	1.72112822239e-05	0.00551006906624	0.0385704834637	1.11111111111	0.0	0.0	5.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
505587	24.0903086367	2.39186537372e-05	0.0060118567129	0.053601703025	10.3333333333	11.25	0.0	0.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Finegoldia; s__
938948	23.9265252976	2.587799946e-05	0.0060118567129	0.0579925967898	1.66666666667	14.5	93.7777777778	0.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
539820	23.7844581562	2.77066350659e-05	0.0060118567129	0.0620905691826	0.777777777778	0.0	0.0	3.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
