# Constructed from biom file
#OTU ID	gut	left palm	right palm	tongue
Unassigned;Other	0.000130308251408	0.0003667654112	0.000474478074118	0.000239457230278
k__Archaea;p__Crenarchaeota	0.0	0.000225701791508	0.000349615423035	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0003667654112	0.00077414843672	2.66063589198e-05
k__Bacteria;p__Actinobacteria	0.000448839532628	0.157906615884	0.150034961542	0.0402554210456
k__Bacteria;p__Armatimonadetes	0.0	2.82127239385e-05	0.000124862651084	0.0
k__Bacteria;p__Bacteroidetes	0.633906207016	0.109775708845	0.119143941664	0.203884528402
k__Bacteria;p__Chloroflexi	0.0	0.000394978135139	0.000374587953251	0.0
k__Bacteria;p__Cyanobacteria	8.68721676054e-05	0.0214134574693	0.032139646389	0.00907276839165
k__Bacteria;p__Deferribacteres	0.0	5.6425447877e-05	4.99450604335e-05	0.0
k__Bacteria;p__Firmicutes	0.324409631228	0.286500211595	0.400809109979	0.217028069709
k__Bacteria;p__Fusobacteria	0.000550190394834	0.0643250105798	0.041354510039	0.103525342557
k__Bacteria;p__GN02	0.0	0.000253914515446	4.99450604335e-05	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	5.6425447877e-05	4.99450604335e-05	0.0
k__Bacteria;p__Planctomycetes	0.0	0.000169276343631	0.000224752771951	0.0
k__Bacteria;p__Proteobacteria	0.0217035632067	0.352687261955	0.248926181201	0.425595317281
k__Bacteria;p__SR1	0.0	0.000423190859077	0.000199780241734	5.32127178396e-05
k__Bacteria;p__Spirochaetes	0.0	0.00169276343631	0.000874038557587	0.000106425435679
k__Bacteria;p__Synergistetes	0.0	0.00115672168148	0.00084906602737	5.32127178396e-05
k__Bacteria;p__TM7	0.0	0.000197489067569	2.49725302168e-05	0.000133031794599
k__Bacteria;p__Tenericutes	0.0	0.00115672168148	0.000724203376286	0.0
k__Bacteria;p__Verrucomicrobia	0.0187643882028	0.000282127239385	0.00164818699431	2.66063589198e-05
k__Bacteria;p__[Thermi]	0.0	0.00056425447877	0.000799120966936	0.0
