	sequences per sample	iteration	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
alpha_rarefaction_10_0.txt	10	0	8.5	13.0	7.0	13.0	9.0	7.0	29.0	13.0	23.0	55.0	23.0	29.0	23.0	55.0	5.0	12.0	55.0	55.0	12.0	55.0	6.5	12.0	23.0	8.5	13.0	13.0	5.5	12.0	12.0	23.0	9.0	9.0	13.0	9.0
alpha_rarefaction_10_1.txt	10	1	13.0	29.0	22.0	55.0	7.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	9.0	23.0	55.0	23.0	29.0	9.0	12.0	22.0	8.5	9.0	13.0	13.0	22.0	12.0	9.0	23.0	22.0	55.0	23.0	29.0
alpha_rarefaction_10_2.txt	10	2	9.0	6.2	8.5	23.0	13.0	13.0	23.0	13.0	23.0	23.0	23.0	55.0	13.0	55.0	13.0	55.0	23.0	55.0	23.0	23.0	8.0	12.0	23.0	12.0	12.0	8.0	13.0	55.0	13.0	12.0	13.0	12.0	13.0	55.0
alpha_rarefaction_10_3.txt	10	3	8.5	13.0	5.33333333333	13.0	22.0	23.0	55.0	23.0	23.0	23.0	23.0	55.0	23.0	55.0	23.0	12.0	23.0	23.0	29.0	55.0	12.0	13.0	13.0	55.0	29.0	5.33333333333	8.5	23.0	13.0	29.0	12.0	13.0	23.0	12.0
alpha_rarefaction_10_4.txt	10	4	6.5	23.0	16.0	12.0	5.5	23.0	13.0	23.0	12.0	23.0	55.0	23.0	55.0	55.0	23.0	55.0	13.0	23.0	55.0	12.0	6.5	29.0	9.0	12.0	12.0	8.5	29.0	13.0	13.0	55.0	13.0	9.0	23.0	8.5
alpha_rarefaction_10_5.txt	10	5	8.5	12.0	12.0	8.5	12.0	12.0	29.0	23.0	23.0	13.0	23.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	5.33333333333	8.5	8.5	29.0	7.0	13.0	29.0	7.0	29.0	8.5	12.0	13.0	23.0	13.0	8.5
alpha_rarefaction_10_6.txt	10	6	9.0	13.0	5.33333333333	11.0	12.0	29.0	29.0	29.0	55.0	23.0	23.0	23.0	55.0	23.0	29.0	55.0	22.0	12.0	23.0	23.0	12.0	12.0	23.0	23.0	13.0	23.0	29.0	12.0	13.0	29.0	23.0	12.0	29.0	13.0
alpha_rarefaction_10_7.txt	10	7	16.0	22.0	12.0	29.0	12.0	55.0	13.0	23.0	23.0	55.0	55.0	55.0	55.0	23.0	22.0	23.0	12.0	13.0	55.0	23.0	29.0	13.0	29.0	12.0	12.0	13.0	7.0	13.0	7.0	12.0	8.5	23.0	55.0	23.0
alpha_rarefaction_10_8.txt	10	8	5.33333333333	7.0	9.0	55.0	9.0	23.0	23.0	13.0	23.0	29.0	55.0	55.0	23.0	23.0	16.0	23.0	23.0	23.0	29.0	23.0	23.0	6.2	9.0	23.0	8.5	29.0	12.0	13.0	13.0	13.0	6.2	13.0	55.0	12.0
alpha_rarefaction_10_9.txt	10	9	7.0	23.0	13.0	29.0	29.0	55.0	13.0	23.0	13.0	55.0	13.0	55.0	13.0	55.0	29.0	13.0	23.0	22.0	23.0	55.0	6.5	55.0	29.0	7.0	23.0	13.0	4.0	23.0	12.0	55.0	23.0	5.33333333333	55.0	23.0
alpha_rarefaction_120_0.txt	120	0	97.25	81.1	86.0	129.666666667	52.0	143.0	113.5	116.666666667	154.5	126.0	209.0	263.75	213.0	197.375	274.2	107.583333333	238.6	173.142857143	53.5	84.1666666667	72.0	44.375	192.666666667	109.2	74.5	63.5	62.75	46.0	55.0	187.25	73.3333333333	58.0	180.0	56.0
alpha_rarefaction_120_1.txt	120	1	105.0	167.166666667	31.0	103.583333333	69.5	257.666666667	236.6	125.0	129.0	186.6	149.5	358.1	287.875	234.571428571	125.909090909	287.6	171.875	135.0	102.0	78.1428571429	57.0	64.0	103.0	95.0	79.1666666667	46.3333333333	44.1428571429	36.8571428571	163.5	138.5	101.111111111	46.0	128.909090909	67.6666666667
alpha_rarefaction_120_2.txt	120	2	197.5	114.5	62.0	72.0	37.2	225.375	97.3333333333	142.0	219.666666667	267.5	244.363636364	343.272727273	218.666666667	330.666666667	176.0	135.75	137.0	279.2	57.6666666667	80.5	57.3333333333	62.6	97.75	110.0	94.75	45.5	44.6	60.5	36.0	85.0	87.4285714286	40.0	296.666666667	178.333333333
alpha_rarefaction_120_3.txt	120	3	68.0	177.0	56.75	91.5	136.0	190.545454545	135.111111111	139.0	134.111111111	153.0	367.0	241.9375	213.1	282.333333333	247.0	164.272727273	266.0	190.5	62.0	57.4285714286	43.125	63.1	96.3333333333	109.2	107.0	61.0	52.0	96.3333333333	92.0	161.0	86.0	51.0	256.0	80.0
alpha_rarefaction_120_4.txt	120	4	205.333333333	107.142857143	65.6666666667	119.125	101.0	132.461538462	280.2	113.928571429	139.25	200.75	298.0	419.0	164.230769231	254.333333333	256.0	134.75	161.0	434.0	64.3333333333	66.1	91.2	40.6666666667	73.625	71.75	99.0	61.5	132.0	54.125	43.2	147.142857143	68.2	40.1428571429	205.0	61.0
