# Constructed from biom file
#OTU ID	L1S8	L1S57	L1S76	L1S105	L1S140	L1S208	L1S257	L1S281	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S63	L4S112	L4S137	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
Unassigned;Other;Other;Other;Other;Other	0.000120192307692	0.0	0.000113160574856	0.000110314396029	0.0	0.000101399310485	0.000697836706211	0.0	0.000615006150062	0.0	0.0	0.0	0.000283527076836	0.00217155266015	0.000994694960212	0.000197941409343	0.0	0.000679347826087	0.0	0.0	0.0	0.0	0.000911992704058	0.00041203131438	0.000349375491309	0.0	0.0	0.0	0.0	0.0	0.000470145745181	0.000507485409794	0.00027468754292	0.00023504524621
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000820008200082	0.0	0.000484144274994	0.000495662949195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000810372771475	0.00161290322581	0.0	0.000638394892841	0.00041203131438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000205002050021	0.0	0.000242072137497	0.000247831474597	0.0	0.00108577633008	0.000331564986737	0.0	0.0	0.0	0.000766871165644	0.0	0.00161290322581	0.0	0.000182398540812	0.0	0.0	0.0	0.0	0.000459558823529	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00161290322581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000495662949195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000364797081623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000726216412491	0.000247831474597	0.0	0.000542888165038	0.0	0.0	0.0	0.0	0.000766871165644	0.0	0.000806451612903	0.0	0.000911992704058	0.000515039142975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000273597811218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000205002050021	0.0	0.000242072137497	0.000247831474597	0.0	0.0	0.0	0.0	0.0	0.0	0.000766871165644	0.0	0.0	0.0	0.000273597811218	0.000103007828595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000247831474597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000810372771475	0.000806451612903	0.0	9.11992704058e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000247831474597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.11992704058e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
