# Constructed from biom file
#OTU ID	L1S8	L1S57	L1S76	L1S105	L1S140	L1S208	L1S257	L1S281	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S63	L4S112	L4S137	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
Unassigned;Other	0.000120192307692	0.0	0.000113160574856	0.000110314396029	0.0	0.000101399310485	0.000697836706211	0.0	0.000615006150062	0.0	0.0	0.0	0.000283527076836	0.00217155266015	0.000994694960212	0.000197941409343	0.0	0.000679347826087	0.0	0.0	0.0	0.0	0.000911992704058	0.00041203131438	0.000349375491309	0.0	0.0	0.0	0.0	0.0	0.000470145745181	0.000507485409794	0.00027468754292	0.00023504524621
k__Archaea;p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000820008200082	0.0	0.000484144274994	0.000495662949195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000810372771475	0.00161290322581	0.0	0.000638394892841	0.00041203131438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000205002050021	0.0	0.000968288549988	0.000991325898389	0.0	0.00162866449511	0.000331564986737	0.0	0.0	0.0	0.00153374233129	0.0	0.00403225806452	0.0	0.00173278613771	0.000515039142975	0.0	0.0	0.0	0.000459558823529	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.000240384615385	0.000306341264168	0.000339481724567	0.000330943188086	0.000943730093193	0.000405597241939	0.000837404047453	0.000264970853206	0.30422304223	0.332904175097	0.0566448801743	0.106815365551	0.0516019279841	0.14657980456	0.159482758621	0.103523357086	0.0	0.351902173913	0.340490797546	0.0875202593193	0.0991935483871	0.000641848523748	0.179115367077	0.153275648949	0.118962354791	0.100598802395	0.0449041372351	0.0592830882353	0.0595238095238	0.0209310718152	0.0606488011283	0.037046434915	0.046284850982	0.0102244682101
k__Bacteria;p__Armatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000247831474597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000455996352029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.66875	0.583988563259	0.636641394138	0.615774958632	0.713931815501	0.674204015413	0.618562456385	0.550874403816	0.030135301353	0.0741217583226	0.107722101186	0.14126394052	0.156506946413	0.0738327904452	0.0397877984085	0.191211401425	0.701077199282	0.015625	0.0398773006135	0.122366288493	0.111290322581	0.688061617458	0.04943000456	0.0491347342398	0.13407284479	0.118962075848	0.0852674066599	0.393841911765	0.105867346939	0.21472392638	0.153737658674	0.083988835321	0.124708144486	0.422846397932
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000820008200082	0.0	0.000484144274994	0.00173482032218	0.0	0.0	0.000331564986737	0.0	0.0	0.0	0.000766871165644	0.0	0.000806451612903	0.0	0.000729594163247	0.000515039142975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.000110314396029	0.0	0.000304197931454	0.000139567341242	0.000132485426603	0.0192701927019	0.00275887437925	0.0505930767369	0.0706319702602	0.00141763538418	0.0369163952226	0.0208885941645	0.00296912114014	0.0	0.0747282608696	0.00536809815951	0.0453808752026	0.118548387097	0.0	0.0605563155495	0.0250309023486	0.00524063236964	0.130538922156	0.00050454086781	0.0	0.000425170068027	0.00288704438831	0.000940291490362	0.0	0.00013734377146	0.000117522623105
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000410004100041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000182398540812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.187379807692	0.390380884305	0.322733959489	0.32443463872	0.264716291141	0.319103630095	0.356594556874	0.435214626391	0.231242312423	0.406106308626	0.137012829823	0.152912019827	0.202721859938	0.524972855592	0.493368700265	0.346595407759	0.189407540395	0.185461956522	0.468558282209	0.257698541329	0.132258064516	0.288189987163	0.423620611035	0.524103831891	0.374792558302	0.30379241517	0.309283551968	0.314797794118	0.336734693878	0.226993865031	0.208274565115	0.142857142857	0.203818156847	0.190856739922
k__Bacteria;p__Fusobacteria	0.000360576923077	0.0	0.000452642299423	0.00330943188086	0.0	0.0	0.000139567341242	0.0	0.0446904469045	0.0329225675924	0.0256596465747	0.0339529120198	0.106747944429	0.0369163952226	0.0112732095491	0.155384006334	0.00269299820467	0.0122282608696	0.0191717791411	0.0186385737439	0.0282258064516	0.000641848523748	0.0749658002736	0.0120519159456	0.0534544501703	0.0754491017964	0.0252270433905	0.0569852941176	0.0973639455782	0.196319018405	0.0846262341326	0.0929967013448	0.143386897404	0.0937830532377
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000551774875851	0.0	0.000495662949195	0.0	0.0	0.0	0.000791765637371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000174687745655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000495662949195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000182398540812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000820008200082	0.000183924958617	0.0	0.0	0.0	0.0	0.0	0.000197941409343	0.0	0.0	0.0	0.000810372771475	0.0	0.0	0.000182398540812	0.00061804697157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.0381009615385	0.0200142959257	0.0380219531515	0.0180915609487	0.0204081632653	0.00557696207666	0.0217725052338	0.0135135135135	0.362033620336	0.147323891852	0.616315662067	0.484014869888	0.480720158775	0.174267100977	0.272877984085	0.178147268409	0.0601436265709	0.357336956522	0.115797546012	0.460291734198	0.500806451613	0.0224646983312	0.203556771546	0.23166460651	0.307363088479	0.270259481038	0.534813319879	0.174172794118	0.399659863946	0.337784193432	0.491302303714	0.642349657447	0.481389918967	0.280996591844
