Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	336.808778607	63.5708021199	497.029469211	228.378610339	-1.17062732029	1.0
C	LB500-NO	1955.88133787	116.851863613	562.515296025	112.281677622	14.8924383511	0.45
C	C-LATE	1955.88133787	116.851863613	263.798583703	38.9856940943	23.7918776688	0.405
C-LATE	C-NO	263.798583703	38.9856940943	336.808778607	63.5708021199	-1.69575288084	1.0
C-LATE	LB500-NO	263.798583703	38.9856940943	562.515296025	112.281677622	-4.3530560722	0.15
C-LATE	LB500-EARLY	263.798583703	38.9856940943	387.979654322	37.317380714	-3.04594788485	0.855
C-NO	LB500-EARLY	336.808778607	63.5708021199	387.979654322	37.317380714	-0.858451487395	1.0
C	C-NO	1955.88133787	116.851863613	336.808778607	63.5708021199	21.0811468217	0.21
C	C-EARLY	1955.88133787	116.851863613	497.029469211	228.378610339	9.84967931658	0.3
C-NO	LB500-NO	336.808778607	63.5708021199	562.515296025	112.281677622	-3.02982949536	0.09
C-EARLY	LB500-NO	497.029469211	228.378610339	562.515296025	112.281677622	-0.445698557585	1.0
C-LATE	C-EARLY	263.798583703	38.9856940943	497.029469211	228.378610339	-1.74362822175	0.765
C	LB500-EARLY	1955.88133787	116.851863613	387.979654322	37.317380714	15.113059288	1.0
LB500-EARLY	LB500-NO	387.979654322	37.317380714	562.515296025	112.281677622	-1.74731438068	1.0
LB500-EARLY	C-EARLY	387.979654322	37.317380714	497.029469211	228.378610339	-0.547720678946	1.0
