# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within treatment	All between treatment	-5.95662719746	9.62216480606e-09	2.43440769593e-06	0.001	0.253
All within treatment	C vs. C	2.26176014888	0.0300290610649	1	0.029	1.000
All within treatment	C-LATE vs. C-LATE	-0.0271600849435	0.978486325833	1	0.981	1.000
All within treatment	C-NO vs. C-NO	0.457938867773	0.649826855772	1	0.703	1.000
All within treatment	LB500-EARLY vs. LB500-EARLY	-0.462827015973	[ 0.64682817]	1	0.623	1.000
All within treatment	C-EARLY vs. C-EARLY	-3.2706782933	0.00241381692056	0.610695680901	0.005	1.000
All within treatment	LB500-NO vs. LB500-NO	0.663136598709	0.511587251689	1	0.519	1.000
All within treatment	C vs. C-LATE	-13.7483664703	1.01463790548e-17	2.56703390086e-15	0.001	0.253
All within treatment	C vs. C-NO	-12.2904223138	5.56717181583e-16	1.4084944694e-13	0.001	0.253
All within treatment	C vs. LB500-EARLY	-8.55248982284	2.71457790714e-10	6.86788210506e-08	0.001	0.253
All within treatment	C vs. C-EARLY	-12.2956102586	5.48579501704e-16	1.38790613931e-13	0.001	0.253
All within treatment	C vs. LB500-NO	-10.1033844364	3.76422378104e-13	9.52348616604e-11	0.001	0.253
All within treatment	C-LATE vs. C-NO	-0.940594505313	0.351934682282	1	0.309	1.000
All within treatment	C-LATE vs. LB500-EARLY	-1.55909796957	0.127486728704	1	0.111	1.000
All within treatment	C-LATE vs. C-EARLY	-3.09484111247	0.00338158997167	0.855542262833	0.004	1.000
All within treatment	C-LATE vs. LB500-NO	-3.42440087343	0.00132442966504	0.335080705254	0.004	1.000
All within treatment	C-NO vs. LB500-EARLY	-0.703157540874	0.486358804238	1	0.487	1.000
All within treatment	C-NO vs. C-EARLY	-2.76923473499	0.00813319076286	1	0.008	1.000
All within treatment	C-NO vs. LB500-NO	-1.16039825723	0.25200603809	1	0.249	1.000
All within treatment	LB500-EARLY vs. C-EARLY	-1.58244544576	0.122059513306	1	0.110	1.000
All within treatment	LB500-EARLY vs. LB500-NO	-0.00716838517512	0.994319016743	1	0.991	1.000
All within treatment	C-EARLY vs. LB500-NO	-3.44020279378	0.00126478911428	0.319991645913	0.004	1.000
All between treatment	C vs. C	4.40751805402	1.68925510369e-05	0.00427381541233	0.001	0.253
All between treatment	C-LATE vs. C-LATE	2.69491651588	0.00762768429774	1	0.008	1.000
All between treatment	C-NO vs. C-NO	3.06567056971	0.00246571245589	0.62382525134	0.002	0.506
All between treatment	LB500-EARLY vs. LB500-EARLY	-1.45708161586	[ 0.14666998]	1	0.091	1.000
All between treatment	C-EARLY vs. C-EARLY	0.0690319980481	0.945031767365	1	0.940	1.000
All between treatment	LB500-NO vs. LB500-NO	3.22135502169	0.00148499454014	0.375703618654	0.001	0.253
All between treatment	C vs. C-LATE	-5.74723117197	3.09667801527e-08	7.83459537864e-06	0.001	0.253
All between treatment	C vs. C-NO	-4.7925308778	3.07859187915e-06	0.000778883745424	0.001	0.253
All between treatment	C vs. LB500-EARLY	-3.23101447049	0.00143601653866	0.363312184282	0.001	0.253
All between treatment	C vs. C-EARLY	-4.90195477884	1.87348532918e-06	0.000473991788283	0.001	0.253
All between treatment	C vs. LB500-NO	-3.29374442935	0.00115678661514	0.292667013631	0.001	0.253
All between treatment	C-LATE vs. C-NO	3.73256343108	0.000242931067542	0.061461560088	0.001	0.253
All between treatment	C-LATE vs. LB500-EARLY	1.95947188516	0.0514065180004	1	0.053	1.000
All between treatment	C-LATE vs. C-EARLY	1.57519894127	0.116687698333	1	0.117	1.000
All between treatment	C-LATE vs. LB500-NO	1.62658768784	0.105296269187	1	0.115	1.000
All between treatment	C-NO vs. LB500-EARLY	2.61125298765	0.00968462344141	1	0.008	1.000
All between treatment	C-NO vs. C-EARLY	2.0640859693	0.0402155639498	1	0.040	1.000
All between treatment	C-NO vs. LB500-NO	3.47831578679	0.000611150526714	0.154621083259	0.001	0.253
