# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-NO
k__Fungi;p__Ascomycota;c__Dothideomycetes	0.0883962976643	0.00234077645268	0.00173207875845	0.0147063555913	0.0544371649792	0.016809500391
k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.00617974740765	0.0850418675463	0.321127401816	0.0285760257442	5.95592614652e-05	2.41863314979e-05
k__Fungi;p__Ascomycota;c__Incertae_sedis	6.61525146225e-05	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes	0.000115766900589	0.257250697792	0.0	0.0020193081255	0.0	8.06211049929e-06
k__Fungi;p__Ascomycota;c__Pezizomycetes	1.65381286556e-05	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes	0.170971174042	0.575101497082	0.513902818834	0.580514883347	0.595056581298	0.586421793497
k__Fungi;p__Ascomycota;c__Sordariomycetes	0.288562781493	1.90307028673e-05	0.000798405827703	0.0304183427192	5.95592614652e-05	0.00636100518394
k__Fungi;p__Ascomycota;c__unidentified	0.0857226335316	0.00669880740929	0.00210158889358	0.0599597747385	0.00780226325194	0.0873610293703
k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.0106615802733	0.00289901040345	0.000234243032095	0.00167337087691	0.0612269207862	0.00330546530471
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes	0.000418965925942	0.0	0.0	0.000160901045857	0.0	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	0.00580488315812	0.0	6.92831503378e-05	0.0238696701529	0.0	0.00775575030031
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.00134510113066	0.0	6.59839527027e-06	2.41351568785e-05	0.0	0.00424873223312
k__Fungi;p__Basidiomycota;c__Pucciniomycetes	0.00100331313844	0.0	0.000415698902027	8.04505229284e-06	0.0	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.0225139058098	0.0030258817559	0.00399202913851	0.0231617055511	0.0	0.0527665132178
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes	0.000562296374291	0.000158589190561	4.61887668919e-05	0.00115848753017	0.0223347230494	0.00152373888437
k__Fungi;p__Basidiomycota;c__Wallemiomycetes	1.10254191037e-05	0.0	0.0	0.000643604183427	0.0	0.0
k__Fungi;p__Basidiomycota;c__unidentified	0.0323155033931	0.0067305252474	0.000527871621622	0.0206918744972	0.0508040500298	0.0219370026686
k__Fungi;p__Glomeromycota;c__Glomeromycetes	0.00102536397665	0.00162395331134	0.0	0.0	0.0	0.0
k__Fungi;p__unidentified;c__unidentified	0.284306969719	0.0591093631058	0.155045792863	0.212413515688	0.208219178082	0.211477220507
