# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-NO
k__Fungi;p__Ascomycota;c__Dothideomycetes	0.0884152728315	0.00234086554931	0.00173207304399	0.0147073021594	0.0544241991187	0.016817833676
k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.00617991774811	0.0850451044825	0.321126342357	0.0285778650275	5.95450756222e-05	2.41867214899e-05
k__Fungi;p__Ascomycota;c__Incertae_sedis	6.61543380707e-05	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes	0.000115770091624	0.257260489488	0.0	0.00201943809738	0.0	8.06224049663e-06
k__Fungi;p__Ascomycota;c__Pezizomycetes	1.65385845177e-05	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes	0.170975886744	0.57509801185	0.513894525	0.580544202362	0.594914850542	0.586415124763
k__Fungi;p__Ascomycota;c__Sordariomycetes	0.288642402726	1.90314272302e-05	0.000798403193613	0.0304203005825	5.95450756222e-05	0.00636110775184
k__Fungi;p__Ascomycota;c__unidentified	0.0857249964166	0.00669906238502	0.00210158196005	0.0599636340231	0.00780040490651	0.0873624380215
k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.0106618741524	0.00289912074806	0.000234242259283	0.00167347858269	0.061629153269	0.00330551860362
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes	0.000418977474448	0.0	0.0	0.000160911402182	0.0	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	0.00580504316571	0.0	6.92829217598e-05	0.0238712065137	0.0	0.00775587535776
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.00134513820744	0.0	6.59837350093e-06	2.41367103273e-05	0.0	0.00424880074173
k__Fungi;p__Basidiomycota;c__Pucciniomycetes	0.00100334079407	0.0	0.000415697530559	8.0455701091e-06	0.0	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.0225035006671	0.0030259969296	0.00399201596806	0.0231631963441	0.0	0.0527834885315
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes	0.000567824735107	0.000164939035995	4.61886145065e-05	0.0011505165256	0.0224484935096	0.00153182569436
k__Fungi;p__Basidiomycota;c__Wallemiomycetes	1.10257230118e-05	0.0	0.0	0.000643645608728	0.0	0.0
k__Fungi;p__Basidiomycota;c__unidentified	0.0322226755019	0.00671175000317	0.000527869880075	0.0206368873298	0.0505537692033	0.0219051074294
k__Fungi;p__Glomeromycota;c__Glomeromycetes	0.0010253922401	0.00162401512364	0.0	0.0	0.0	0.0
k__Fungi;p__unidentified;c__unidentified	0.284298267859	0.0591116129769	0.155055178898	0.212435233161	0.2081100393	0.211480630467
