candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
10001 1146_31084	412		834065	94.90	412
10002 1033_18045	412		834065	95.90	412
1004022 1147_5799	413		2818167	93.50	413
10085 764_30757	412		834065	95.40	412
1008941 833_480	413		518033	95.60	413
1009440 1159_4888	412		201562	89.10	412
1009894 456_29928	412		126133	99.00	412
1010721 448_43752	409		993578	89.00	409
1017364 1141_4257	413		4308184	93.70	413
10180 764_13799	365		289174	96.70	365
1022184 1143_43678	412		289174	95.90	412
102222 1143_48522	413		518033	95.20	413
1023428 1145_27459	413		773586	94.40	413
102348 766_6471	412		215053	92.20	412
1033018 427_1306	411		157064	92.90	411
103314 832_1749	413		773586	94.90	413
1034564 448_42802	409		993578	89.20	409
1039477 1152_7822	413		928249	94.40	413
104044 844_16215	412		289174	94.40	412
1040713 1022_2965	415		269248	95.40	415
1051517 1157_3664	414		4406763	96.40	414
1052930 1017_24439	413		1047401	92.50	413
1060029 1020_12614	414		4363681	98.10	414
1062748 449_5866	414		4323733	98.60	414
1065974 833_2297	413		773586	93.90	413
1067651 1157_78	412		202319	92.50	412
1076316 430_6322	412		928249	95.60	412
1078248 1157_464	413		4406763	97.30	413
1078373 1146_37611	319		289174	98.70	319
1080980 431_12666	409		922912	91.00	409
1081222 1157_1460	412		2435847	93.00	412
1082539 1036_22858	412		316765	94.20	412
1082846 1157_3500	414		264412	94.40	414
1083508 456_44663	413		93199	92.50	413
1084045 833_906	413		1140492	97.10	413
1084865 1152_19209	413		928249	95.40	413
1084906 1152_16261	413		928249	95.20	413
1085646 833_3077	413		518033	95.20	413
1085832 1032_14986	412		316765	94.90	412
1086621 425_779	411		749805	93.70	411
1090059 833_7505	410		773586	95.60	410
1096010 1023_16090	414		936750	94.70	414
1097359 1017_7131	412		126133	95.40	412
1098184 834_2157	414		108724	91.30	414
1098655 1141_4661	411		4406763	95.40	411
110514 426_7287	328		3359884	97.30	328
1105459 431_1351	412		268585	94.20	412
1105876 432_13522	412		235800	93.00	412
1105919 758_35737	411		749805	94.40	411
1107027 1035_1002	413		518033	93.70	413
1108007 448_39988	411		4482886	95.90	411
1108289 1023_11718	376		140910	95.50	376
1108350 431_12808	414		368639	95.40	414
1108417 1019_38629	411		37026	92.00	411
1108638 1016_18998	416		4403574	94.20	416
1108706 457_33446	411		834065	95.10	411
1108960 1016_5021	412		926588	92.70	412
1109334 1146_24749	412		202319	94.90	412
1109429 1143_34531	412		834065	95.60	412
1110317 1033_376	413		518033	96.90	413
1110763 1033_346	412		834065	96.40	412
1110787 833_3984	412		1143228	92.00	412
1111294 1143_4103	412		834065	95.60	412
1111582 833_63	413		773586	95.20	413
1111874 1023_33231	412		268585	94.90	412
1116674 1017_21586	412		268585	94.90	412
1117908 1032_18039	412		834065	96.10	412
1119540 759_635	412		289174	94.70	412
1121530 1035_13692	413		518033	93.20	413
1122622 1022_8192	412		592303	94.70	412
1123021 1141_8176	413		4406763	96.90	413
1123414 759_38025	412		834065	95.90	412
1126111 1146_14729	412		834065	95.40	412
1126506 1143_1526	412		289174	95.90	412
1129841 758_30158	410		686593	95.40	410
1132297 1155_3833	410		518033	96.60	410
1134031 1023_33879	413		1668820	96.90	413
1135616 1032_828	413		518033	94.20	413
1136676 842_1588	328		97342	93.90	328
1136710 1033_17826	413		518033	96.90	413
1138534 1032_16422	413		1668820	97.10	413
1139769 457_40834	408		4455886	94.90	408
1141188 1146_2820	325		289174	96.00	325
114166 759_25891	413		773586	94.90	413
1141758 427_4618	413		3359884	98.30	413
1142199 1023_3075	411		95370	86.60	411
114233 1138_8935	413		4406763	96.10	413
1143319 1151_23163	336		3359884	97.60	336
114462 1033_7709	412		834065	94.40	412
122049 1017_37305	411		289174	93.90	411
123510 1033_13041	412		268585	95.10	412
124309 1146_21651	412		834065	95.10	412
131383 1157_1154	412		202319	92.00	412
134671 1143_41718	411		834065	95.60	411
136946 1023_2808	412		268585	94.90	412
137043 442_12021	413		518033	96.40	413
137866 451_30227	412		520017	95.40	412
138130 1157_3911	412		2435847	93.20	412
138911 759_25233	312		4430839	96.50	312
141145 1032_18125	337		289174	97.00	337
144814 759_28924	320		289174	95.90	320
14592 1157_2051	413		4406763	93.90	413
148003 1146_26930	412		834065	95.90	412
148827 831_821	413		773586	95.20	413
149034 1035_8567	412		834065	95.60	412
1513771 1033_370	413		518033	95.90	413
152125 1022_230	411		749805	94.40	411
1523543 457_28524	411		697063	98.30	411
152485 448_25360	413		773586	93.70	413
152859 431_6991	411		268585	94.90	411
15286 1017_11141	413		773586	94.20	413
153978 1143_41249	413		3359884	95.40	413
156232 760_15604	411		516285	92.90	411
157489 839_13862	413		518033	96.60	413
157866 1157_952	412		4406763	97.10	412
159299 1141_7708	410		4406763	92.70	410
159446 1143_45901	412		518033	96.10	412
160548 1033_1779	413		518033	94.70	413
16144 1032_10754	413		4430839	96.60	413
164430 764_33622	412		834065	95.90	412
1646259 427_6922	312		3792581	95.80	312
164789 1018_6111	328		289174	95.40	328
1649772 1152_102	412		834065	96.10	412
1663575 766_32173	411		289174	95.90	411
169182 1146_24104	337		289174	97.60	337
169538 1143_726	412		834065	96.10	412
170798 765_7331	385		289174	94.80	385
171518 844_3177	412		268585	93.90	412
172586 451_20434	413		834065	95.20	413
175060 455_37970	315		875406	83.50	315
1759078 833_66	412		945326	93.90	412
175931 458_32555	411		760005	92.50	411
1787644 763_31350	413		3359884	97.60	413
1793401 764_38124	328		3359884	97.00	328
18499 459_8103	412		354006	93.00	412
1892252 426_2012	318		3792581	95.90	318
189438 447_13002	412		4319691	94.70	412
189482 1031_10272	413		1668820	94.40	413
1901956 1023_6792	412		215053	92.00	412
1918929 425_198	421		3792581	91.90	421
192776 1033_1139	367		518033	97.30	367
197286 448_34816	412		268585	93.70	412
1991307 1143_38797	413		518033	95.90	413
210269 430_1149	410		268585	93.70	410
211593 448_16507	315		289174	96.50	315
2119418 459_19658	328		289174	96.30	328
213522 759_30859	412		834065	95.60	412
222397 1141_8458	413		4406763	96.90	413
223368 764_21713	412		834065	95.90	412
224670 456_42477	365		289174	97.30	365
225582 1155_1577	410		686593	97.80	410
226338 431_5362	413		4406763	94.20	413
228494 1032_9282	412		834065	95.90	412
2304693 1037_6180	412		834065	95.60	412
232696 764_18434	338		289174	95.30	338
236142 1143_38080	368		289174	95.70	368
236811 448_41576	412		834065	95.40	412
236821 1023_14231	412		268585	93.70	412
23694 764_31600	412		268585	95.40	412
237081 454_21382	412		4482886	95.40	412
239619 1146_7467	412		1047956	95.40	412
240268 1031_13243	409		4388133	94.60	409
240810 1017_7572	365		289174	96.70	365
24271 1143_21584	413		518033	93.50	413
243185 1152_20288	411		268585	95.40	411
2445338 759_6514	412		289174	95.90	412
2458172 454_10925	364		686593	95.30	364
245980 431_5182	407		3359884	97.30	407
250206 451_32229	411		686593	97.30	411
251243 431_409	413		4482886	94.40	413
252679 456_23461	413		4482886	95.90	413
2529278 1017_26960	323		289174	96.30	323
2529285 1146_23484	328		289174	96.30	328
253061 448_15512	409		268585	94.40	409
254021 1150_6443	366		292203	96.20	366
254053 1159_31992	413		518033	97.10	413
254888 1022_43861	411		1146188	93.70	411
255307 1159_32110	411		749805	94.90	411
257492 833_2276	412		773586	94.70	412
2582263 1035_7919	412		834065	96.10	412
258785 1032_27397	330		289174	96.40	330
259544 459_34921	409		308972	88.80	409
261110 1146_17141	411		834065	96.10	411
266330 1150_13806	413		518033	99.00	413
2665096 765_12254	409		4388133	95.60	409
267416 1032_11472	412		834065	94.90	412
268061 758_23365	409		144239	92.20	409
268592 1033_18745	413		518033	98.80	413
2702263 759_38682	343		4430839	95.90	343
270355 1017_25343	412		289174	94.90	412
273018 764_46522	409		327512	91.00	409
273647 1032_1875	412		516285	93.00	412
274365 1152_19241	412		834065	96.10	412
274754 1017_3593	412		834065	95.90	412
275097 1152_27943	412		834065	96.10	412
275296 1146_17427	411		1146188	95.90	411
276106 458_20599	412		140806	95.90	412
280706 1017_12522	367		289174	95.60	367
281015 1033_7587	411		834065	95.60	411
284672 1035_8518	412		834065	96.10	412
288521 839_1739	413		518033	95.40	413
288584 1022_21233	413		518033	96.90	413
288680 1023_27231	412		697063	94.70	412
288723 1017_16556	413		518033	97.10	413
