candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
10002 147_13944	412		834065	94.90	412
1000654 148_11425	409		4388133	93.40	409
1001564 175_24091	412		202319	93.00	412
1002005 148_8347	415		4312480	95.20	415
1003206 147_2180	412		926588	92.20	412
1004022 156_32355	413		2818167	93.20	413
1004540 148_17860	414		368639	95.20	414
1007180 148_22404	411		294399	92.20	411
10085 147_21693	412		834065	95.40	412
1009440 147_9158	411		201562	91.00	411
1009894 156_6779	412		126133	98.50	412
1010113 148_12311	412		834065	94.40	412
1010721 156_6265	409		993578	89.70	409
1013943 148_35713	409		367523	88.80	409
1015227 146_9989	414		4463767	95.20	414
1015969 167_26743	413		4406763	95.20	413
1020921 148_29192	407		367523	95.10	407
1022184 148_2136	412		1047956	95.40	412
102222 170_38318	413		518033	94.70	413
1023428 156_36722	413		773586	93.90	413
102348 148_13252	412		215053	92.20	412
1024188 148_33028	412		354006	91.50	412
1024743 146_12431	412		926588	93.40	412
1025949 148_4703	411		201562	93.20	411
1026498 172_18921	412		4307887	97.80	412
103211 147_32395	413		618926	93.20	413
1032653 147_13535	413		304089	91.80	413
1033018 156_20732	411		157064	93.70	411
1034564 147_13380	409		993578	89.20	409
1038865 147_32771	408		4388133	93.60	408
1039594 147_13342	411		264416	96.80	411
103984 146_30452	414		368639	96.40	414
1039872 148_16277	409		1953696	95.80	409
104044 147_15476	412		268585	93.00	412
1042671 148_1061	409		591063	93.90	409
1044278 148_33792	412		354006	94.70	412
1045797 156_1720	414		368639	94.00	414
1046254 147_3882	409		127534	94.10	409
1048497 147_24519	412		926588	91.70	412
1048878 147_2683	411		28592	95.40	411
1049387 147_4701	413		93199	97.10	413
1049393 147_33826	413		807070	94.70	413
1049750 147_3951	411		201562	89.80	411
104996 147_15271	411		4388127	89.30	411
1051459 156_27289	411		264416	95.40	411
1051517 156_6386	413		4406763	95.40	413
1051744 156_5628	414		368639	93.70	414
1052559 147_12656	412		354006	92.70	412
1052930 147_16626	413		1047401	93.20	413
1053100 147_28057	413		4445042	87.40	413
1053775 147_1775	411		824826	90.80	411
105561 162_24590	413		4389688	90.60	413
1057116 148_33708	409		1953696	95.40	409
1058276 146_19260	407		367523	94.10	407
1058844 148_4600	411		926588	92.00	411
106019 148_29692	409		993578	90.50	409
1060565 147_19194	411		4377099	91.50	411
106144 156_33919	411		264416	96.10	411
1062748 170_10821	414		4323733	98.80	414
106310 148_6269	411		749805	94.40	411
106334 148_2576	412		4336516	99.80	412
1065974 156_13647	413		945326	94.70	413
106749 147_28281	408		993578	89.20	408
1067651 147_32479	412		1143228	92.70	412
1067865 147_15358	411		749805	93.40	411
1068149 160_10714	414		209886	91.10	414
1068562 166_27588	411		1124893	91.00	411
1070477 156_15202	409		144239	90.20	409
1072513 148_33858	411		201562	93.40	411
1072787 148_8559	412		2818167	92.70	412
107349 148_3502	411		749805	95.10	411
1074016 148_34236	411		157064	91.70	411
107501 148_7605	409		993578	90.20	409
1075600 147_18234	411		201562	96.60	411
1076316 147_26773	413		928249	95.20	413
1076759 148_9006	410		4403	94.10	410
1078248 156_9762	413		4406763	95.20	413
1078373 148_13099	412		1047956	94.40	412
1078997 148_5164	407		544631	95.30	407
1080436 148_16743	409		1953696	94.40	409
1081222 147_16125	411		247727	91.00	411
1081815 156_5007	414		4447353	98.60	414
1082539 156_8197	412		316765	93.70	412
1083508 156_26775	413		93199	93.50	413
1084045 156_21142	413		1140492	96.40	413
1084157 156_38200	414		322340	93.00	414
1084865 156_2383	413		928249	96.60	413
1084950 148_35942	407		294399	95.60	407
1085646 156_28884	413		518033	96.10	413
1085832 162_7340	412		316765	94.40	412
1086621 147_7732	411		749805	94.90	411
1088120 148_9102	408		4388133	95.60	408
108905 148_19870	411		73760	93.90	411
1090029 156_2368	414		322340	95.70	414
1090059 156_9962	413		928249	96.60	413
1090273 147_28378	409		1953696	90.50	409
1091060 148_32852	412		926588	93.20	412
1093466 147_36475	411		686593	98.10	411
1093610 146_16353	411		996510	94.40	411
109364 156_36687	409		805194	90.70	409
1093698 148_11048	409		367523	91.20	409
1097359 146_17299	412		126133	95.10	412
110059 176_41175	410		303937	92.90	410
110321 162_36992	411		996510	94.60	411
1103391 150_3308	411		2435847	97.80	411
1104627 147_17088	411		686593	95.90	411
1105085 146_2516	411		583617	88.10	411
1105459 147_31161	412		268585	94.90	412
1105574 148_8440	411		4304452	93.90	411
1105814 178_54392	410		573135	97.30	410
1106204 147_11504	411		686593	95.40	411
1106324 156_2451	411		27485	95.90	411
1106471 156_24993	414		4463767	98.60	414
1106617 147_12221	411		4462642	96.80	411
1107027 156_5002	413		518033	94.20	413
1107159 148_7471	411		73760	95.10	411
1107335 146_29813	410		126133	95.90	410
1107385 170_16175	413		518033	94.20	413
1108350 156_2090	414		368639	96.40	414
