candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
10002 145_9353	412		834065	94.90	412
1000654 148_12043	409		4388133	93.40	409
1002005 148_8683	415		4312480	95.20	415
1003206 148_30563	412		926588	92.20	412
1004022 145_14402	413		2818167	93.20	413
1004540 148_16969	414		368639	95.20	414
1007180 145_29756	411		294399	94.20	411
10085 145_5081	412		1047956	94.90	412
1009440 145_7719	411		201562	90.30	411
1009894 145_23970	412		126133	98.80	412
1010113 148_12950	412		834065	94.40	412
1010721 145_25101	409		993578	89.20	409
101293 145_29146	409		993578	90.00	409
1013589 145_16595	409		245429	88.00	409
1013943 148_35983	409		367523	88.80	409
1015227 145_4362	414		4463767	95.40	414
1015969 151_8227	413		4406763	96.90	413
1017251 145_7332	413		304089	91.30	413
1020921 145_6591	407		367523	95.30	407
1022184 145_24489	412		834065	95.60	412
102222 161_37037	413		518033	96.40	413
1023428 156_37158	413		773586	93.90	413
102348 145_10468	411		215053	91.20	411
1024188 145_6311	412		926588	92.50	412
1024743 146_12492	412		926588	93.40	412
1025949 145_17613	411		201562	93.40	411
103211 145_17231	413		618926	92.50	413
1032653 147_13461	413		304089	91.80	413
1033018 145_12329	411		157064	93.20	411
1033380 145_28787	414		4463767	95.40	414
1034564 145_23294	409		993578	90.00	409
1038865 145_21685	409		4388133	93.90	409
1039594 145_11035	411		264416	96.80	411
103984 168_27348	414		368639	95.40	414
1039872 145_4814	409		1953696	95.10	409
104044 145_20269	412		834065	95.60	412
1042671 148_778	409		591063	93.90	409
1044278 145_34117	412		1124893	93.90	412
1045797 145_35931	414		368639	95.90	414
1046254 145_24039	409		127534	93.40	409
1048497 145_4894	412		926588	91.70	412
1048774 145_15856	411		824826	89.80	411
1048878 145_18569	411		4462642	95.60	411
1049387 145_3027	413		93199	96.60	413
1049393 147_36010	413		807070	94.70	413
1049750 147_3387	411		201562	89.80	411
104996 147_15202	411		4388127	89.30	411
1051459 145_13042	410		264416	97.10	410
1051517 163_5194	413		4406763	95.40	413
1051744 156_5280	414		368639	93.70	414
1052559 148_33915	412		354006	92.00	412
1052930 145_24953	413		2818167	93.00	413
1053100 147_28059	413		4445042	87.40	413
1053775 145_33329	411		217030	90.00	411
105561 162_24668	413		4389688	90.60	413
1057116 145_24619	409		1953696	97.10	409
1058276 146_19202	407		367523	94.10	407
1058844 145_9755	412		926588	92.50	412
1059762 145_96	412		18516	96.10	412
106019 145_9752	409		993578	91.00	409
1060565 145_23237	411		4377099	91.50	411
106144 156_33988	411		264416	96.10	411
1062123 145_16448	410		544631	96.60	410
1062748 145_3032	414		4323733	98.60	414
106310 145_34672	411		749805	94.40	411
106334 145_121	412		4336516	99.00	412
1064410 145_24277	409		100443	93.60	409
1065974 156_13011	413		945326	94.70	413
106749 145_23006	409		993578	91.20	409
1067651 157_37722	412		1143228	92.50	412
1067865 145_31276	410		749805	94.60	410
1068149 151_34996	414		209886	90.10	414
1068363 145_16828	413		1125136	90.10	413
1068562 166_27599	411		1124893	91.00	411
1070477 145_7644	409		805194	90.00	409
1072513 145_6342	411		201562	93.40	411
1072787 145_27767	413		2818167	93.20	413
107349 145_3884	411		749805	95.10	411
1074016 145_3061	411		157064	93.20	411
107501 145_19254	409		993578	89.70	409
1075600 145_21358	411		686593	96.40	411
1076316 147_26604	413		928249	95.20	413
1076759 145_716	412		4403	94.90	412
1078248 163_32445	413		4406763	95.90	413
1078373 152_18319	412		1047956	94.20	412
1078997 148_4247	407		544631	95.30	407
1080436 145_14186	409		1953696	95.10	409
1081222 151_10973	412		2435847	93.20	412
1081815 157_4496	414		4447353	97.80	414
1082539 155_39027	412		316765	93.90	412
1083508 145_917	413		93199	93.50	413
1084045 157_15522	413		4406763	96.10	413
1084157 156_40378	414		322340	93.00	414
1084865 157_7267	413		928249	97.30	413
1084950 145_8803	410		294399	93.70	410
1085646 156_26190	413		518033	96.10	413
1085832 152_42599	412		316765	93.70	412
1086621 145_528	411		749805	95.10	411
1088120 145_35500	409		4388133	95.40	409
108905 148_788	411		73760	93.90	411
1090029 145_16979	414		322340	95.40	414
1090059 156_9258	413		928249	96.60	413
1090273 145_23600	409		1953696	90.00	409
1091060 145_15976	412		926588	92.00	412
1093466 145_24042	411		686593	98.10	411
1093610 162_35543	411		996510	94.90	411
109364 156_36773	409		805194	90.70	409
1093698 145_5318	409		367523	91.20	409
1097359 166_28694	412		126133	96.10	412
110321 162_36928	411		996510	94.60	411
1103391 150_3444	411		2435847	97.80	411
1104546 145_35698	410		686593	94.60	410
1104627 145_3120	411		686593	95.10	411
1105085 151_25914	411		583617	87.30	411
1105459 150_8497	412		268585	94.40	412
1105574 145_29358	411		4304452	94.90	411
1106204 145_6509	411		686593	95.40	411
1106324 145_32123	411		264416	97.80	411
1106471 145_25181	414		4463767	97.60	414
1106617 145_24452	411		4462642	97.10	411
1107027 166_6656	413		518033	93.50	413
1107159 148_7686	411		73760	95.10	411
1107335 146_29633	410		126133	95.90	410
1107385 150_12525	413		518033	92.30	413
1108350 145_23508	414		368639	96.10	414
1108638 162_19135	416		4403574	94.50	416
1108726 148_24917	411		1146188	95.90	411
1108886 145_11647	412		4319691	95.60	412
1108960 145_2466	412		926588	93.00	412
1109587 145_13279	412		354006	93.00	412
1110317 157_14583	413		518033	96.10	413
1110763 145_1836	412		834065	94.90	412
1111294 145_16025	412		1047956	95.40	412
1111449 150_24063	413		261768	91.50	413
1111582 145_26160	413		773586	94.70	413
1111847 145_3712	413		93199	96.40	413
1111874 163_42590	412		1047956	94.70	412
1111882 146_21257	409		367523	91.20	409
1116372 148_25008	411		201562	93.90	411
1118300 166_41661	412		926588	93.00	412
1118561 145_25726	412		4319691	95.90	412
1118978 147_32571	411		749805	93.90	411
1119860 145_26603	409		367523	88.30	409
1121124 152_23839	413		1668820	96.60	413
1122504 145_1409	409		367523	89.20	409
1122622 145_11863	412		592303	95.10	412
1125570 145_24021	411		686593	91.50	411
1125832 145_4164	412		354006	93.00	412
1126111 147_35593	412		834065	95.10	412
1126475 145_13150	406		4294643	91.10	406
1127804 148_15145	411		264416	94.90	411
1127852 145_26772	408		686593	89.70	408
1128880 165_19426	413		2818167	90.10	413
