candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
10001 1144_4895	412		834065	95.90	412
10002 430_2487	412		834065	95.90	412
1004022 450_5737	413		2818167	92.50	413
10085 1147_25672	412		834065	95.60	412
1008941 834_2804	413		518033	95.60	413
1009440 1159_4635	412		201562	89.10	412
1009894 1147_27301	412		126133	99.00	412
1010721 448_43659	409		993578	89.00	409
1017364 1141_4301	413		4308184	93.70	413
10180 1040_32562	384		289174	96.10	384
1022184 1020_4930	412		834065	96.10	412
102222 430_8117	413		518033	94.40	413
1023428 1145_27556	413		773586	94.40	413
102348 766_6344	412		215053	92.20	412
1033018 425_626	411		157064	93.70	411
103314 832_1890	413		773586	94.90	413
1034564 448_42546	409		993578	89.20	409
1039477 1152_7335	413		928249	94.40	413
104044 1020_6594	412		268585	93.70	412
1040713 1022_3037	415		269248	95.40	415
1051517 1141_1256	412		4406763	97.60	412
1052930 1017_24471	413		1047401	92.50	413
1060029 1020_12511	414		4363681	98.10	414
1062748 449_5748	414		4323733	98.60	414
1065974 450_28919	413		945326	94.40	413
1067651 1157_329	412		202319	92.50	412
1076316 1020_12408	413		928249	95.20	413
1078248 1141_2	413		4406763	96.90	413
1078373 1020_5076	316		289174	98.70	316
1080980 431_12618	409		922912	91.00	409
1081222 1141_3636	412		2435847	93.70	412
1082539 758_9900	412		316765	94.20	412
1082846 1138_6878	414		264412	94.20	414
1083508 1147_7708	413		93199	93.20	413
1084045 1141_968	413		1140492	96.90	413
1084865 430_1090	411		928249	96.40	411
1084906 1152_16198	413		928249	95.20	413
1085646 1157_4089	413		518033	95.60	413
1085832 1040_39090	412		316765	94.20	412
1086621 425_854	411		749805	93.70	411
1090059 1138_2724	413		4406763	94.90	413
1096010 1023_14605	414		936750	94.70	414
1097359 1017_7427	412		126133	95.40	412
1098184 1020_16813	414		108724	91.30	414
1098655 1141_4040	411		4406763	95.40	411
110514 1020_28971	328		3359884	97.30	328
1105459 1148_7410	412		834065	94.90	412
1105876 432_13456	412		235800	93.00	412
1105919 761_11919	411		749805	93.40	411
1107027 1152_1331	413		518033	94.20	413
1108007 447_24675	411		4482886	95.40	411
1108289 1023_12352	376		140910	95.50	376
1108350 431_12863	414		368639	95.40	414
1108417 1019_22996	411		37026	92.50	411
1108638 1040_9254	416		4403574	94.00	416
1108706 449_29222	347		289174	97.40	347
1108960 1020_26367	411		926588	92.00	411
1109334 1146_24748	412		202319	94.90	412
1109429 1020_10357	412		834065	96.40	412
1110317 1144_2368	413		518033	96.90	413
1110763 430_185	412		834065	96.40	412
1110787 1141_8829	412		1143228	91.70	412
1111294 430_6557	412		834065	95.60	412
1111582 430_548	413		773586	94.40	413
