candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
10002 145_18390	411		834065	95.10	411
1000654 148_10984	409		4388133	93.40	409
1001564 175_21597	412		202319	93.00	412
1002005 148_7007	415		4312480	95.20	415
1003206 145_7150	365		926588	93.20	365
1004022 145_11582	413		2818167	93.20	413
1007180 145_24412	411		294399	94.20	411
10085 145_3733	412		1047956	94.90	412
1009440 145_6206	411		201562	90.30	411
1009894 145_19652	412		126133	98.80	412
1010113 148_9969	412		834065	94.40	412
1010721 145_20723	409		993578	89.20	409
101293 145_24230	409		993578	90.00	409
1013943 148_29631	409		367523	88.80	409
1015227 145_3998	414		4463767	95.40	414
1015969 151_7219	413		4406763	96.90	413
1017251 145_5994	413		304089	91.30	413
1020921 145_5487	407		367523	95.30	407
10212 145_25577	315		222706	94.90	315
1022184 145_19825	412		834065	95.60	412
102222 178_5413	413		518033	95.20	413
1023428 156_31478	413		773586	93.90	413
102348 145_8925	411		215053	91.20	411
1024188 145_4458	412		926588	92.50	412
1024743 146_10804	412		926588	93.40	412
1025949 145_14691	411		201562	93.40	411
1026498 172_15766	412		4307887	97.80	412
103211 145_14431	413		618926	92.50	413
1032653 147_11237	413		304089	91.80	413
1033018 145_10477	411		157064	93.20	411
1033380 145_23757	414		4463767	95.40	414
1034564 145_19070	409		993578	90.00	409
1038865 145_17694	409		4388133	93.90	409
1039594 145_9050	411		264416	96.80	411
1039872 145_4144	409		1953696	95.10	409
104044 178_1813	412		834065	95.40	412
1042671 145_9148	409		591063	95.60	409
1044278 145_27921	412		1124893	93.90	412
1045797 145_29543	414		368639	95.90	414
1046254 145_20806	409		127534	93.40	409
1048497 145_3855	412		926588	91.70	412
1048774 145_13300	411		824826	89.80	411
1048878 145_15512	411		4462642	95.60	411
1049387 145_16143	413		93199	96.40	413
1049393 147_28158	413		807070	94.70	413
1049750 147_3134	411		201562	89.80	411
104996 147_12783	411		4388127	89.30	411
1051459 145_12616	410		264416	97.10	410
