candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
10002 575_16181	262		289174	97.70	262
100027 545_30929	293		289174	98.30	293
1003206 521_7458	293		926588	91.10	293
1004022 547_39701	293		651100	96.90	293
1007180 580_16188	293		831289	92.80	293
1007599 565_29826	294		4363681	96.90	294
10085 537_32354	293		289174	96.60	293
1009894 565_34183	293		126133	98.60	293
1010721 530_18590	293		993578	90.10	293
10180 566_6939	293		289174	97.30	293
10196 571_30840	293		289174	98.30	293
102049 520_38927	293		298198	88.40	293
1022184 565_18347	293		289174	97.30	293
102222 547_296	293		518033	96.60	293
102348 552_1915	293		4403	91.10	293
1027943 520_1479	293		1953696	88.70	293
102883 565_30662	293		716416	91.10	293
1030519 542_4611	293		4463767	92.80	293
103166 571_30436	293		289174	95.60	293
1033018 575_25961	293		4304452	97.30	293
1033413 571_8203	293		945326	95.20	293
1039092 532_29455	293		993578	89.40	293
1039594 581_11586	293		27485	95.60	293
1039872 521_32425	293		1953696	94.20	293
1040009 565_33684	292		4399328	95.20	292
104044 540_27309	221		559954	96.40	221
1040713 575_21358	294		269248	95.90	294
1040889 521_7329	293		1839271	94.20	293
1048605 522_38226	293		354006	91.10	293
1057116 521_23979	293		1953696	95.20	293
1059729 575_30071	293		945326	95.60	293
1060517 557_4364	293		4304452	96.60	293
1060565 521_15985	293		4377099	93.90	293
1062061 556_10491	293		191032	95.60	293
1065974 542_35518	293		518033	94.90	293
1066559 520_6886	293		82334	87.00	293
1068470 521_5889	293		40435	94.50	293
1068902 520_12150	293		4463767	92.50	293
1072513 575_29776	293		201562	95.60	293
1072787 566_11908	293		651100	98.00	293
1075821 575_10826	293		1096652	90.10	293
1076587 556_6855	293		193666	94.50	293
1078207 565_5798	292		4399328	94.90	292
1078373 530_24322	292		289174	97.30	292
1078587 521_10119	292		193666	99.00	292
1078997 522_29791	293		544631	97.30	293
1080436 520_29057	293		1953696	93.50	293
1082539 565_21301	292		4399328	94.90	292
1083508 581_29163	293		651100	93.20	293
1084865 521_24143	293		928249	94.50	293
1084950 521_7981	293		294399	96.20	293
1086621 552_23356	293		589504	94.90	293
1087966 565_8043	293		993578	91.10	293
1088120 540_17995	293		40435	95.20	293
1090273 520_32829	293		1953696	89.80	293
1091060 547_2158	293		824826	91.50	293
1098609 565_57929	293		4312480	93.50	293
1100972 531_62715	292		697063	96.20	292
1104627 571_9414	293		686593	93.90	293
1104783 575_1278	293		1104783	97.30	293
1104936 547_777	293		289174	97.30	293
110514 521_18289	287		3359884	97.20	287
1105280 567_5653	293		73760	95.20	293
1105343 556_10106	293		199568	98.60	293
1105459 542_31533	292		289174	96.60	292
1105574 521_7871	293		4304452	98.30	293
1105814 575_10	293		573135	99.70	293
1106324 521_18043	293		27485	96.90	293
1106471 580_18377	293		4463767	98.30	293
1106617 552_18876	293		1146188	96.60	293
1107027 565_28921	293		518033	93.20	293
1107335 521_24833	293		126133	95.20	293
1108007 530_24198	292		292203	95.50	292
1108706 530_38428	293		289174	95.90	293
1108830 522_11800	293		512542	92.80	293
1108960 575_17589	293		824826	92.20	293
1109623 552_26747	248		289174	99.20	248
1110317 575_9806	293		518033	95.90	293
1110763 547_12401	293		289174	99.00	293
1111294 547_16878	293		289174	99.00	293
1111582 547_23408	293		773586	94.20	293
1111874 547_1096	293		289174	97.60	293
1111944 531_6985	293		926588	92.80	293
1113302 567_836	293		809836	93.50	293
1113896 537_42414	293		945326	94.20	293
1117908 565_42856	292		289174	98.60	292
1118048 580_25417	292		543414	85.60	292
1122504 520_5711	293		367523	89.40	293
1129906 526_17923	293		1118571	89.80	293
1129931 520_42822	293		4312480	93.50	293
1132020 521_24511	293		3359884	97.30	293
1132297 547_54172	293		518033	98.30	293
1134454 522_46503	292		1143228	99.00	292
1135616 547_14331	262		518033	95.40	262
1136710 547_15348	293		518033	96.20	293
1137031 547_2566	292		518033	94.20	292
1141758 547_17044	293		3359884	97.30	293
1142657 546_13861	293		518033	93.50	293
1143645 530_7457	288		926588	91.00	288
114462 525_7601	283		289174	95.40	283
114587 565_4606	294		214718	93.90	294
119010 531_8513	293		289174	94.90	293
123510 547_8658	293		289174	96.20	293
124309 547_27353	293		289174	96.60	293
129048 521_2901	250		3359884	98.40	250
134665 522_63390	292		4302012	95.20	292
134671 547_3857	293		289174	95.90	293
136946 565_54980	293		289174	96.60	293
138316 565_49645	293		4456283	87.00	293
138826 581_530	293		289174	96.20	293
1419 520_19527	293		4456283	88.70	293
142346 521_27337	293		686593	94.20	293
144713 522_62462	292		4406763	92.10	292
144814 547_50367	293		289174	96.20	293
148003 530_18036	293		289174	97.60	293
1513771 552_9599	293		518033	94.90	293
152371 520_23485	293		354006	90.80	293
152485 547_32232	274		945326	93.80	274
152842 520_26612	293		100443	93.50	293
152859 547_42565	292		289174	96.60	292
153978 547_8867	293		3359884	98.00	293
155854 521_22637	293		201562	96.90	293
156232 566_19475	293		516285	93.90	293
156646 521_18030	293		4456735	93.90	293
156791 546_9984	293		589504	93.90	293
157424 521_31040	292		514182	92.80	292
157966 556_1611	293		851865	95.90	293
159446 547_42350	293		518033	95.90	293
160548 547_40614	293		518033	96.90	293
16144 530_46091	293		2122726	96.20	293
161616 521_6197	293		264416	95.20	293
162215 547_39519	271		289174	96.70	271
163775 527_22722	287		289174	98.30	287
1646255 542_35656	263		3792581	95.10	263
1646259 547_14491	291		3792581	95.50	291
164789 530_44583	293		289174	97.30	293
164915 530_46316	293		289174	94.50	293
165611 521_7394	293		686593	97.60	293
165882 535_54709	293		289174	99.00	293
167120 556_4871	292		289174	97.60	292
167440 532_23180	293		289174	98.30	293
167950 571_24078	292		289174	96.60	292
168415 547_56407	293		289174	95.90	293
170798 552_12097	292		289174	95.50	292
171217 530_33728	293		289174	95.90	293
171518 547_7893	293		289174	96.90	293
1722623 540_38520	293		518033	93.90	293
172586 552_339	293		289174	95.90	293
17309 556_1544	293		518033	95.90	293
173333 521_4569	293		928249	93.90	293
173744 521_9547	291		4456252	92.10	291
173996 532_863	293		297872	95.20	293
17444 571_45028	286		945326	93.40	286
174624 556_9419	293		193666	97.30	293
176680 520_36349	292		926588	92.50	292
176881 521_25727	293		4329132	96.60	293
177520 521_24495	293		4329132	95.90	293
178213 556_9268	293		518033	93.20	293
1787644 521_2335	292		3359884	96.90	292
1793401 575_30007	293		3359884	96.20	293
180401 521_29608	293		193666	93.90	293
180509 521_2524	293		290018	94.20	293
180738 520_38866	293		174924	94.20	293
181161 556_8153	293		350681	95.60	293
182036 520_8160	293		179663	94.20	293
182116 521_21783	293		193666	94.90	293
182196 536_34717	293		193666	96.90	293
182538 520_27402	293		192234	92.80	293
183210 556_11295	293		193666	96.20	293
183480 556_1015	293		529442	91.50	293
183604 520_8530	293		193666	95.90	293
184211 522_87243	293		3931706	93.20	293
184238 520_37978	293		193666	94.20	293
184922 521_15548	292		215040	95.20	292
185203 522_1753	293		851865	96.60	293
18546 565_49876	288		37026	89.60	288
185563 520_42635	293		193666	98.60	293
185583 521_23357	293		195496	95.90	293
186090 521_3227	293		287907	94.90	293
186092 520_26001	292		303326	95.50	292
187929 555_1884	293		193666	95.20	293
189208 522_58487	293		4329132	96.90	293
1892252 552_5504	274		3792581	96.00	274
189482 577_19747	293		518033	94.90	293
189592 556_12628	293		186510	93.90	293
189866 520_35555	293		193666	96.20	293
191050 536_29634	293		183107	95.20	293
191361 557_1364	293		186510	94.90	293
1915223 522_25015	293		204874	91.80	293
1918929 575_1629	291		3792581	93.80	291
191919 552_30077	293		193666	97.30	293
192215 536_26241	293		289174	96.90	293
192539 522_82612	248		3359884	98.40	248
192625 557_24711	293		186510	94.20	293
192654 522_42621	293		3589845	94.20	293
192776 547_5336	292		518033	96.20	292
193240 522_75334	293		301984	92.50	293
193302 552_5277	293		193666	96.90	293
193336 520_13062	293		294289	95.90	293
193666 522_43564	293		193666	98.00	293
193867 575_2514	293		241543	96.60	293
194035 575_28204	293		1215	94.50	293
194069 521_23069	292		158415	92.10	292
194104 556_2004	293		192234	95.60	293
194322 521_9716	293		263546	92.50	293
194696 521_12153	293		851865	96.20	293
194758 530_5368	293		195674	94.20	293
194947 520_25620	293		3589845	95.20	293
195105 571_25632	294		197393	97.30	294
195548 522_43730	293		192234	97.60	293
195769 556_10528	293		193666	98.30	293
196139 520_17998	293		178438	95.90	293
